1	41472	16575408	52.94	istight1	10.55	6.04
1	38727	15478469	45.54	istight1	8.82	8.45
1	46137	18440299	65.33	istight1	12.89	5.39
1	135382	54109326	60.98	istight1	15.76	16.62
1	130605	52200078	51.46	istight1	10.92	19.91
1	130881	52310652	52.79	istight1	5.48	7.31
1	130881	52310662	81.16	istight1	11.34	17.47
1	145610	58197583	79.51	istight1	4.14	2.42
1	149679	59823961	62.97	istight1	9.38	11.54
1	149983	59945293	45.18	istight1	16.66	1.09
1	151772	60660261	47.26	istight1	5.81	8.29
1	175434	70117580	48.95	istight1	9.95	10.83
1	158013	63154527	75.46	istight1	3.14	10.96
1	159283	63662136	46.98	istight1	19.05	3.06
1	159110	63592903	49.27	istight1	12.48	14.70
1	159110	63593072	48.21	istight1	18.26	4.92
1	166224	66436401	88.71	istight1	11.47	8.73
1	166234	66440592	48.27	istight1	10.35	0.07
1	177088	70778659	46.03	istight1	2.31	1.02
1	177088	70778722	82.23	istight1	17.89	8.67
1	177088	70778723	48.72	istight1	10.72	1.16
1	168313	67271301	45.64	istight1	8.70	8.84
1	168313	67271420	49.77	istight1	13.78	4.81
1	170833	68278760	50.02	istight1	3.52	15.25
1	1357	542311	47.92	istight1	10.96	8.12
1	1723	688520	49.29	istight1	5.32	12.00
1	122660	49024739	132.96	istight1	4.35	2.63
1	122661	49025171	61.37	istight1	10.65	14.97
1	151727	60642061	68.60	istight1	9.34	15.14
1	152135	60805272	67.00	istight1	6.02	12.31
1	152135	60805304	45.38	istight1	16.73	10.91
1	162612	64993093	49.24	istight1	9.30	1.79
1	166288	66462057	46.41	istight1	3.27	6.61
1	166325	66476862	45.10	istight1	8.12	15.43
1	166367	66493798	49.93	istight1	12.17	18.68
1	166353	66488062	47.99	istight1	16.23	8.50
1	177530	70955590	50.94	istight1	14.97	14.25
1	159597	63787908	64.40	istight1	17.13	15.58
1	159602	63789784	49.51	istight1	18.51	0.04
1	159602	63789915	46.80	istight1	9.33	16.60
1	159900	63908836	73.48	istight1	4.29	16.77
1	176397	70502153	48.05	istight1	10.87	1.80
1	2878	1150386	46.05	istight1	10.10	10.44
1	3995	1596457	69.85	istight1	1.84	8.08
1	22157	8855700	58.99	istight1	13.77	9.85
1	22183	8866038	46.74	istight1	4.11	1.58
1	25327	10122597	47.71	istight1	16.09	10.87
1	25385	10145675	47.91	istight1	1.98	15.29
1	4181	1671031	56.01	istight1	4.60	18.03
1	4183	1671631	58.28	istight1	18.50	6.90
1	20763	8298565	116.31	istight1	18.41	3.74
1	26064	10417531	126.61	istight1	16.86	8.54
1	25728	10282866	46.79	istight1	14.49	19.95
1	25739	10287499	49.45	istight0	15.03	1.71
1	60547	24199418	50.13	istight1	11.63	18.53
1	61172	24449241	47.82	istight1	9.60	8.28
1	32559	13013086	45.65	istight1	13.38	8.91
